temperature,humidity,windspeed,pressure,moisture,visibility,rainfall
32.5,78.2,12.3,1008.5,72.1,6.2,45.3
28.1,65.4,8.7,1013.2,58.9,8.5,12.6
35.2,88.6,15.1,1005.8,82.3,3.1,78.9
26.8,55.3,6.2,1016.4,48.7,9.8,5.2
30.4,82.1,18.4,1007.1,76.5,4.7,62.1
22.3,45.8,4.5,1019.3,38.2,10.0,0.8
33.7,91.2,22.6,1003.6,88.4,2.3,95.4
29.5,70.6,10.8,1011.7,65.3,7.1,28.7
27.2,60.1,7.3,1014.9,52.6,9.2,8.4
31.8,85.4,16.9,1006.2,79.8,3.8,71.6
24.6,50.2,5.1,1017.8,43.5,10.0,2.1
34.9,93.7,24.3,1002.1,91.2,1.9,102.3
28.8,73.5,11.6,1010.4,68.1,6.8,33.9
26.1,58.7,6.9,1015.6,51.4,9.0,7.6
32.3,87.9,19.2,1004.7,83.6,3.4,80.2
23.7,48.3,4.8,1018.6,40.9,10.0,1.5
35.8,95.1,26.1,1001.3,93.7,1.6,108.7
30.2,76.8,13.4,1009.8,71.6,6.0,40.5
25.4,56.9,6.6,1016.1,49.8,9.4,6.3
33.1,89.4,20.7,1004.2,85.2,3.2,84.7
